sample,symbol_a,symbol_b,observations,tail_probability,lower_joint_rate,upper_joint_rate,independence_joint_rate,lower_coexceedance_ratio,upper_coexceedance_ratio,lower_to_independence_multiple,upper_to_independence_multiple,lower_minus_upper_ratio
high_volatility,IWM,QQQ,302,0.01,0.009933774834437087,0.006622516556291391,0.0001,0.9933774834437087,0.662251655629139,99.33774834437087,66.2251655629139,0.3311258278145697
high_volatility,IWM,QQQ,302,0.05,0.026490066225165563,0.023178807947019868,0.0025000000000000005,0.5298013245033112,0.46357615894039733,10.596026490066222,9.271523178807945,0.06622516556291386
high_volatility,IWM,QQQ,302,0.1,0.059602649006622516,0.04966887417218543,0.010000000000000002,0.5960264900662251,0.49668874172185423,5.96026490066225,4.966887417218542,0.09933774834437087
high_volatility,IWM,SPY,302,0.01,0.009933774834437087,0.006622516556291391,0.0001,0.9933774834437087,0.662251655629139,99.33774834437087,66.2251655629139,0.3311258278145697
high_volatility,IWM,SPY,302,0.05,0.033112582781456956,0.026490066225165563,0.0025000000000000005,0.6622516556291391,0.5298013245033112,13.24503311258278,10.596026490066222,0.13245033112582794
high_volatility,IWM,SPY,302,0.1,0.06622516556291391,0.056291390728476824,0.010000000000000002,0.6622516556291391,0.5629139072847682,6.62251655629139,5.629139072847681,0.09933774834437092
high_volatility,QQQ,SPY,302,0.01,0.009933774834437087,0.009933774834437087,0.0001,0.9933774834437087,0.9933774834437087,99.33774834437087,99.33774834437087,0.0
high_volatility,QQQ,SPY,302,0.05,0.039735099337748346,0.039735099337748346,0.0025000000000000005,0.7947019867549668,0.7947019867549668,15.894039735099335,15.894039735099335,0.0
high_volatility,QQQ,SPY,302,0.1,0.08609271523178808,0.0728476821192053,0.010000000000000002,0.8609271523178808,0.7284768211920529,8.609271523178807,7.284768211920528,0.13245033112582782
normal_volatility,IWM,QQQ,1205,0.01,0.004979253112033195,0.0008298755186721991,0.0001,0.49792531120331945,0.08298755186721991,49.792531120331944,8.29875518672199,0.41493775933609955
normal_volatility,IWM,QQQ,1205,0.05,0.024896265560165973,0.014937759336099586,0.0025000000000000005,0.49792531120331945,0.2987551867219917,9.958506224066387,5.975103734439833,0.19917012448132776
normal_volatility,IWM,QQQ,1205,0.1,0.05228215767634855,0.03568464730290456,0.010000000000000002,0.5228215767634855,0.3568464730290456,5.228215767634854,3.5684647302904557,0.1659751037344399
normal_volatility,IWM,SPY,1205,0.01,0.004979253112033195,0.0016597510373443983,0.0001,0.49792531120331945,0.16597510373443983,49.792531120331944,16.59751037344398,0.3319502074688796
normal_volatility,IWM,SPY,1205,0.05,0.028215767634854772,0.023236514522821577,0.0025000000000000005,0.5643153526970954,0.46473029045643155,11.286307053941906,9.29460580912863,0.09958506224066388
normal_volatility,IWM,SPY,1205,0.1,0.056431535269709544,0.053112033195020746,0.010000000000000002,0.5643153526970954,0.5311203319502075,5.643153526970953,5.311203319502074,0.03319502074688796
normal_volatility,QQQ,SPY,1205,0.01,0.005809128630705394,0.005809128630705394,0.0001,0.5809128630705395,0.5809128630705395,58.09128630705394,58.09128630705394,0.0
normal_volatility,QQQ,SPY,1205,0.05,0.034854771784232366,0.03402489626556016,0.0025000000000000005,0.6970954356846473,0.6804979253112032,13.941908713692944,13.609958506224062,0.016597510373444035
normal_volatility,QQQ,SPY,1205,0.1,0.07800829875518672,0.06721991701244813,0.010000000000000002,0.7800829875518672,0.6721991701244813,7.800829875518671,6.721991701244812,0.10788381742738595
