symbol,frequency,return_type,observations,mean,median,variance,standard_deviation,mean_absolute_return,minimum,maximum,skewness,excess_kurtosis,jarque_bera_statistic,jarque_bera_pvalue
IWM,15min_within_session,intraday_log_return,37556,-1.6283276279359709e-06,4.970920809244106e-05,6.448402643732537e-06,0.0025393705211592373,0.0016596764626223765,-0.046442471609233316,0.052955872577134855,0.6798999191218514,26.65804197830435,1114634.5213824774,0.0
QQQ,15min_within_session,intraday_log_return,37556,1.3786540822973734e-05,6.965728829300133e-05,5.209453653546483e-06,0.0022824227596014027,0.0014834435410465761,-0.04658705549011177,0.04452278782033936,0.3344522555226765,25.62581103577871,1028011.8848022454,0.0
SPY,15min_within_session,intraday_log_return,37556,1.0936419145001566e-05,5.682841186205323e-05,3.425773666634429e-06,0.0018508845632924894,0.0011384049422163004,-0.030827790948968037,0.04199848517988247,0.8669271887002878,38.96927833053782,2380414.920390256,0.0
IWM,daily_session,overnight_log_return,1507,0.0005599169833885802,0.0008531465908916402,0.00012292995423614532,0.011087378149776679,0.007108540494354873,-0.12657564930066112,0.0743651792138369,-1.2057033326917985,18.707952924182777,22185.93099996741,0.0
QQQ,daily_session,overnight_log_return,1507,0.0004334268282417872,0.0009296476211595461,9.894411771717288e-05,0.00994706578429905,0.006423627625280014,-0.10774546115452388,0.05351624513093789,-1.5031412983785897,16.449802798755254,17436.891415413116,0.0
SPY,daily_session,overnight_log_return,1507,0.0003325544392416924,0.0007747809210396639,7.673019505824055e-05,0.008759577333310127,0.005186730288222975,-0.11629087176757213,0.05865096608631504,-2.5094699337217286,34.34279444777998,75129.51895459637,0.0
IWM,daily_session,regular_session_log_return,1508,-0.0002508461760013037,0.0,0.0001621696434776878,0.012734584542798709,0.009568662964569562,-0.06021547324888399,0.09420567014496761,0.09656395097112018,3.177848278877889,631.0965905286624,9.101575849880262e-138
QQQ,daily_session,regular_session_log_return,1508,0.0002908111151798586,0.0012059453232322603,0.0001530772016441365,0.012372437174790443,0.008988313021047084,-0.06246486554919617,0.11288846127862495,0.1884086859084682,6.236442385759988,2433.425809404788,0.0
SPY,daily_session,regular_session_log_return,1508,0.00021992465114925564,0.0006904723979990202,9.125718532219316e-05,0.009552862676820659,0.0065942049015122114,-0.05766646325868141,0.09639884444911395,0.32021881978726774,10.000008051303075,6262.525668995072,0.0
IWM,daily_session,close_to_close_log_return,1507,0.000312709039377587,0.0005480202904655229,0.00028602009594075095,0.016912128663794837,0.012129425564022757,-0.1473275871851376,0.08939516834490568,-0.7339413499234712,8.183655320842655,4308.416075286999,0.0
QQQ,daily_session,close_to_close_log_return,1507,0.0007189691401568603,0.0014782206204149162,0.00025709805734861954,0.016034277574889975,0.01118802332104456,-0.1343069644556225,0.11107425921114089,-0.40183095246050066,7.698865860663883,3733.8297882398547,0.0
SPY,daily_session,close_to_close_log_return,1507,0.000549975143738313,0.0009131935861574902,0.00017222526849076253,0.013123462519120574,0.008548051459321554,-0.12364166391264497,0.09053050438816701,-0.6393559667475258,14.391478304060236,13014.299621972437,0.0
